romdasSpikes,calcSpikes,iri
1214.0,18,3.95
1403.0,24,4.17
1268.0,25,4.02
943.0,17,3.64
1715.0,269,4.54
1282.0,34,4.04
1098.0,20,3.82
901.0,16,3.59
1001.0,24,3.72
1049.0,14,3.76
1258.0,28,4.0
1646.0,32,4.46
1475.0,23,4.26
1153.0,38,3.88
1099.0,22,3.82
1606.0,124,4.41
1082.0,19,3.8
1007.0,16,3.72
749.0,22,3.41
734.0,22,3.41
993.0,25,3.7
851.0,14,3.53
778.0,19,3.45
1233.0,31,3.97
1118.0,23,3.84
1829.0,32,4.67
2290.0,138,5.2
2743.0,303,5.73
2642.0,66,5.6
2177.0,41,5.07
3531.0,69,6.64
1380.0,26,4.15
1282.0,35,4.03
1590.0,31,4.39
1578.0,24,4.37
1797.0,43,4.62
1374.0,36,4.15
1296.0,31,4.05
803.0,15,3.48
881.0,15,3.57
1411.0,20,4.19
1302.0,34,4.05
1397.0,24,4.17
1174.0,26,3.91
1023.0,20,3.73
1255.0,22,4.0
1162.0,20,3.89
1815.0,32,4.65
2261.0,28,5.17
1668.0,28,4.48
1723.0,30,4.54
1566.0,26,4.36
1818.0,38,4.65
2483.0,49,5.42
1812.0,21,4.64
1987.0,41,4.85
1746.0,44,4.57
2963.0,75,5.98
1725.0,35,4.55
1356.0,27,4.12
1222.0,18,3.97
1148.0,15,3.88
1112.0,28,3.83
1560.0,39,4.37
1614.0,33,4.42
1332.0,27,4.09
1299.0,29,4.05
1039.0,30,3.75
2347.0,49,5.27
3241.0,52,6.3
1822.0,35,4.66
1572.0,24,4.37
1148.0,25,3.88
1617.0,31,4.42
1603.0,36,4.4
2137.0,52,5.02
2270.0,44,5.18
2082.0,51,4.96
983.0,20,3.69
1239.0,44,3.98
1370.0,6,4.13
2307.0,33,5.22
3195.0,60,6.25
2180.0,56,5.07
2306.0,47,5.22
2936.0,59,5.95
1916.0,33,4.76
2744.0,59,5.73
2452.0,48,5.39
1955.0,32,4.81
2590.0,52,5.55
2767.0,71,5.76
2023.0,48,4.89
1636.0,14,4.44
1595.0,35,4.4
1819.0,32,4.65
1597.0,28,4.4
1590.0,33,4.39
2547.0,306,5.5
2265.0,64,5.17
1751.0,32,4.58
3701.0,92,6.84
3342.0,85,6.42
3798.0,73,6.95
3397.0,73,6.48
2191.0,53,5.09
3481.0,72,6.58
2271.0,61,5.18
1840.0,41,4.68
1606.0,17,4.41
1963.0,42,4.82
3043.0,182,6.08
1847.0,38,4.69
4132.0,89,7.34
1293.0,24,4.05
1708.0,23,4.53
1546.0,26,4.34
2094.0,42,4.97
3798.0,75,6.94
1163.0,28,4.01
1694.0,34,4.51
1461.0,34,4.24
1303.0,16,4.06
1502.0,26,4.29
1026.0,19,3.74
963.0,16,3.66
740.0,9,3.41
747.0,13,3.41
1318.0,31,4.08
846.0,20,3.53
1157.0,25,3.89
1092.0,8,3.81
821.0,6,3.5
840.0,17,3.52
651.0,19,3.3
677.0,14,3.33
801.0,11,3.47
877.0,21,3.56
981.0,20,3.68
855.0,26,3.54
946.0,24,3.64
654.0,9,3.31
660.0,14,3.31
667.0,21,3.32
1021.0,16,3.73
918.0,25,3.61
818.0,21,3.49
1370.0,42,4.37
1148.0,21,3.88
1395.0,27,4.16
1141.0,26,3.87
909.0,18,3.6
1615.0,39,4.42
835.0,11,3.51
847.0,15,3.53
1432.0,54,4.21
1380.0,30,4.15
1064.0,6,3.78
926.0,23,3.62
938.0,25,3.63
1142.0,20,3.87
1026.0,29,3.73
1503.0,37,4.3
903.0,25,3.59
1059.0,16,3.77
1349.0,12,4.13
1586.0,14,4.39
1232.0,12,3.97
915.0,16,3.61
1217.0,24,3.96
1545.0,69,4.34
1014.0,9,3.72
981.0,13,3.69
965.0,17,3.66
718.0,14,3.38
774.0,24,3.45
1008.0,15,3.73
1182.0,21,4.26
3099.0,54,6.13
1859.0,45,4.7
2689.0,40,5.67
2216.0,52,5.12
2428.0,60,5.36
2947.0,81,5.96
2112.0,54,5.0
2824.0,53,5.82
2890.0,65,5.9
3131.0,163,6.18
3901.0,245,7.07
4000.0,178,7.19
3865.0,107,7.03
5075.0,153,8.43
4973.0,205,8.32
3491.0,115,6.6
4451.0,123,7.7
2673.0,74,5.65
3198.0,85,6.26
2420.0,186,5.35
1890.0,133,4.74
3313.0,79,6.38
3056.0,63,6.09
2544.0,64,5.5
2378.0,44,5.31
2444.0,115,5.38
3163.0,85,6.21
1844.0,4,6.88
1372.0,45,4.14
1224.0,21,3.96
1096.0,23,3.82
1383.0,26,4.15
1179.0,22,3.91
1380.0,11,4.15
1841.0,24,4.68
1673.0,23,4.49
1015.0,23,3.73
1424.0,36,4.2
1693.0,30,4.51
1496.0,15,4.28
1049.0,17,3.76
1210.0,10,3.95
1623.0,47,4.43
1050.0,17,3.76
1525.0,22,4.31
1744.0,43,4.57
1249.0,29,3.99
1142.0,23,3.88
1374.0,23,4.14
1167.0,22,3.9
856.0,18,3.54
907.0,15,3.6
944.0,10,3.64
1005.0,42,3.71
733.0,8,3.4
1046.0,31,3.76
1597.0,34,4.4
1038.0,31,3.75
1690.0,29,4.51
1360.0,23,4.12
998.0,12,3.7
870.0,15,3.56
1012.0,34,3.72
1212.0,37,3.95
837.0,17,3.52
1257.0,34,4.01
2402.0,36,5.32
1536.0,44,4.33
1475.0,19,4.26
1803.0,38,4.64
1576.0,36,4.38
1521.0,29,4.31
1772.0,46,4.6
1715.0,51,4.54
1556.0,39,4.35
1093.0,27,3.82
1521.0,37,4.31
1305.0,24,4.06
1181.0,7,4.38
1532.0,29,4.32
1764.0,86,4.59
1423.0,20,4.2
1743.0,38,4.57
2322.0,33,5.24
2134.0,41,5.02
1993.0,55,4.86
2489.0,76,5.43
1548.0,79,4.34
2174.0,164,5.07
1771.0,55,4.59
2488.0,30,5.46
2274.0,70,5.18
1988.0,26,4.85
2151.0,56,5.04
1897.0,31,4.75
2108.0,76,4.99
1895.0,50,4.75
1257.0,21,4.01
909.0,30,4.87
1347.0,25,4.11
1369.0,23,4.14
1215.0,36,3.96
1329.0,26,4.09
1032.0,16,3.74
1006.0,28,3.71
810.0,17,3.48
862.0,8,3.56
1692.0,25,4.5
1148.0,27,3.88
1009.0,14,3.72
1386.0,26,4.16
823.0,19,3.5
1121.0,18,3.84
1223.0,26,3.96
1562.0,18,4.36
1783.0,27,4.62
1518.0,41,4.31
1104.0,26,3.83
893.0,20,3.58
838.0,13,3.52
812.0,16,3.49
1060.0,35,3.78
1832.0,46,4.67
1708.0,33,4.52
1328.0,18,4.08
1142.0,34,3.87
1335.0,18,4.1
1299.0,32,4.05
1386.0,18,4.16
1523.0,19,4.31
1023.0,14,3.74
1304.0,17,4.06
978.0,20,3.68
926.0,14,3.63
1317.0,14,4.07
836.0,20,3.52
953.0,19,3.65
1316.0,23,4.07
982.0,7,3.68
801.0,10,3.48
817.0,22,3.49
872.0,11,3.56
3188.0,6,6.25
1648.0,0,4.45
1332.0,1,4.09
967.0,27,3.67
1228.0,25,3.97
1373.0,13,4.14
1612.0,16,4.41
1202.0,20,3.94
1017.0,32,3.73
1417.0,23,4.18
1559.0,21,4.37
2220.0,44,5.12
1206.0,35,3.94
1018.0,20,3.73
853.0,26,3.54
992.0,2,3.69
1589.0,22,4.4
1232.0,24,3.99
1043.0,31,3.76
1856.0,47,4.7
1816.0,36,4.65
1604.0,18,4.4
1849.0,21,4.69
1489.0,28,4.28
1694.0,34,4.51
2965.0,114,5.99
1316.0,46,4.07
1069.0,45,3.79
1003.0,35,3.71
1149.0,22,3.88
2070.0,44,4.95
1178.0,17,3.91
1687.0,42,4.5
1262.0,28,4.01
2091.0,33,4.97
1716.0,11,4.53
2461.0,166,5.4
2674.0,0,6.53
1295.0,24,4.05
1314.0,29,4.07
1295.0,31,4.05
1014.0,14,3.72
1154.0,28,3.88
1057.0,39,3.77
1356.0,37,4.12
1150.0,26,3.88
1447.0,27,4.23
1275.0,18,4.02
1329.0,21,4.09
1251.0,36,4.0
1829.0,23,4.67
1439.0,17,4.22
1142.0,75,3.87
966.0,13,3.67
1063.0,24,3.78
1065.0,31,3.78
1673.0,33,4.48
1678.0,32,4.49
1385.0,21,4.15
1579.0,38,4.38
1296.0,19,4.05
1458.0,14,4.24
1239.0,13,3.98
